TEMPO_REALE_SECONDS,ANNO,2025_km,5K_PB,log_total_km,SESSO_M
7664.0,1997,40.0,1723.0,5.869296913133774,0
8163.0,1986,41.0,1598.0,4.634728988229636,1
6080.0,1993,44.0,1299.0,5.768320995793772,1
7653.0,2001,109.0,1649.0,4.6913478822291435,1
6984.0,1995,133.0,1475.0,5.093750200806762,1
7434.0,2000,133.0,1461.0,6.3818160174060985,1
7885.0,1986,146.0,1514.0,5.5909869805108565,1
6838.0,1998,149.0,1410.0,6.633318433280377,0
7806.0,1979,153.0,1607.0,6.3080984415095305,1
7907.0,1988,154.0,933.0,5.676753802268282,0
8017.0,1997,164.0,1582.0,7.00669522683704,0
8098.0,2001,166.0,1648.0,5.831882477283517,1
7056.0,2001,174.0,1523.0,5.973809611869261,1
6277.0,1998,175.0,1239.0,6.466144724237619,1
7857.0,2004,176.0,1574.0,5.575949103146316,1
8145.0,1973,190.0,1201.0,7.910957382845589,1
7975.0,1979,207.0,1536.0,8.076204527239026,0
7696.0,1997,208.0,1579.0,6.180016653652572,1
7687.0,1983,224.0,1443.0,6.703188113240863,1
7656.0,1964,231.0,1619.0,6.815639990074331,1
6893.0,1989,241.0,1311.0,7.425357887027151,1
7947.0,1996,245.0,1551.0,5.6240175061873385,1
8041.0,2005,257.0,1709.0,6.003887067106539,1
8015.0,1980,267.0,1570.0,7.289610521451167,1
7977.0,1968,276.0,1524.0,8.705828110266784,0
7953.0,1970,284.0,1550.0,7.8252452914317745,1
6779.0,2001,292.0,1335.0,6.118097198041348,1
6924.0,1995,293.0,1442.0,6.51471269087253,1
7715.0,1996,299.0,1140.0,6.025865973825314,0
7769.0,1991,306.0,1588.0,7.415776975415394,1
7982.0,1982,313.0,1609.0,6.994849985833071,0
6623.0,1998,315.0,1403.0,5.817111159963204,0
8093.0,1998,315.0,1570.0,7.262628600974241,1
7879.0,1990,320.0,1741.0,6.363028103540465,1
7970.0,1994,325.0,1710.0,6.952728644624869,0
4888.0,2002,327.0,1092.0,8.371704884667631,1
7248.0,1992,331.0,1487.0,7.034387929915503,0
7946.0,1976,356.0,1629.0,6.82001636467413,0
7900.0,2001,370.0,1555.0,6.921658184151129,0
7484.0,1988,375.0,1558.0,6.694562058521095,0
6433.0,1986,375.0,1148.0,5.998936561946683,1
8050.0,1995,380.0,1680.0,6.459904454377535,0
7882.0,1965,395.0,1428.0,7.580699752224563,0
6903.0,1996,401.0,1486.0,6.018593214496234,0
6116.0,1988,413.0,1409.0,6.709304340258298,0
7977.0,1976,417.0,1559.0,8.494333897270154,1
7891.0,1981,422.0,1579.0,7.251344983372214,1
7438.0,1986,442.0,1540.0,6.543911845564792,1
6972.0,1994,443.0,1372.0,7.1204443723924875,1
6136.0,1994,498.0,1421.0,6.272877006546167,0
6224.0,2001,506.0,1358.0,6.375024819828097,0
6890.0,1969,506.0,1520.0,6.226536669287466,0
6740.0,1970,507.0,1280.0,8.205764725234456,1
6715.0,1971,511.0,1444.0,7.920446505142607,1
5600.0,1982,512.0,1167.0,6.520621127558696,1
6759.0,1998,514.0,1466.0,7.509335266016592,0
7923.0,1995,535.0,1545.0,8.203304026795282,1
5932.0,1985,537.0,1265.0,7.971776122880628,1
6908.0,2001,546.0,1367.0,7.344719054149673,0
6699.0,1966,550.0,1345.0,8.870943863837724,1
6811.0,1988,555.0,1333.0,7.21890970761906,0
7872.0,1977,557.0,1031.0,7.251344983372214,0
5233.0,1991,564.0,1128.0,8.44009614103127,1
7683.0,2000,564.0,1745.0,6.647688373563329,1
4877.0,2001,565.0,1034.0,7.963807953231451,1
8063.0,1970,565.0,1741.0,7.741967899820685,0
5901.0,1975,571.0,1230.0,8.714567550836485,1
5564.0,1989,581.0,1167.0,6.364750756851911,1
6740.0,1984,586.0,1307.0,8.38320455141292,0
6717.0,2001,590.0,1466.0,7.631916513071252,0
7385.0,1977,595.0,1258.0,7.660585461703256,1
6774.0,1990,603.0,1405.0,6.8679744089702925,0
7054.0,1989,605.0,1490.0,7.617759576608505,1
7027.0,1981,610.0,1511.0,8.003028666384733,1
6477.0,1995,624.0,1425.0,6.473890696352274,1
6405.0,1997,629.0,1313.0,7.358830898342354,0
5677.0,1968,638.0,1254.0,7.551186867296149,0
7851.0,1968,649.0,1498.0,7.77863014732581,1
6888.0,1974,661.0,1523.0,8.468002947225466,0
6826.0,1971,670.0,1358.0,9.059052257762401,0
6522.0,1992,687.0,1433.0,8.106816038947052,0
6121.0,2000,729.0,1221.0,7.759187438507795,0
4996.0,1982,733.0,1362.0,6.597145701886651,1
8155.0,1979,740.0,1202.0,7.81156848934518,0
6213.0,1998,743.0,1008.0,8.319473692442186,0
5323.0,1998,766.0,1155.0,8.583916823459145,1
7708.0,1995,821.0,1299.0,8.873748128154395,1
6067.0,1983,850.0,1231.0,7.7886260656250315,0
6080.0,1980,860.0,1349.0,9.340578848899913,0
7193.0,1969,868.0,1367.0,9.323936878558722,0
4952.0,1990,897.0,1096.0,8.114623886420098,1
7810.0,1966,906.0,1406.0,8.934059722248843,0
6271.0,1990,909.0,1248.0,7.340186835320115,0
6221.0,1972,909.0,1137.0,8.795430805040018,1
6509.0,1982,950.0,1386.0,9.107864580386947,0
4867.0,2000,965.0,876.0,7.385851078125209,1
4746.0,2002,966.0,990.0,9.190443740261726,0
4989.0,1987,968.0,1094.0,9.086363192156472,1
5024.0,1983,973.0,1016.0,9.387565631345389,1
4967.0,1985,992.0,1100.0,8.865170419651774,1
5480.0,1998,1066.0,1133.0,9.297251743965479,0
5181.0,1992,1105.0,1124.0,9.186047679407139,1
4863.0,1995,1113.0,1016.0,8.280964400553373,1
4615.0,1993,1143.0,1035.0,7.282761179605593,1
4932.0,1981,1152.0,1036.0,9.325898712610455,1
4901.0,1997,1178.0,1081.0,8.60611940061064,1
4551.0,1986,1203.0,992.0,9.18204377282107,1
5008.0,1980,1339.0,1109.0,8.211211361793023,1
4316.0,1998,1517.0,954.0,8.814627555310697,1
4557.0,1978,1533.0,967.0,9.37339415841248,1
4253.0,1993,1571.0,918.0,9.347926034928745,1
4310.0,1987,1662.0,942.0,8.413387022690648,1
4196.0,1993,1703.0,918.0,8.030409562130485,1
4873.0,1992,1762.0,963.0,7.987524479848767,1
6830.0,1978,1986.0,1350.0,8.32263709695394,0
4950.0,1982,2241.0,1040.0,9.117237753713859,1
